Date,Open,High,Low,Close,(High-Low),(Open-Close)
05-10-2023,18722.94,18722.94,18561.55,18599.84,161.39,123.1
04-10-2023,18622.82,18664.56,18498.46,18603.31,166.1,19.51
03-10-2023,18656.22,18712.04,18563.62,18585.98,148.42,70.24
29-09-2023,18655.47,18727.24,18565.53,18679.41,161.71,-23.94
28-09-2023,18999.62,18999.62,18556.68,18583.57,442.94,416.05
27-09-2023,18793.1,18930.05,18671.76,18912.21,258.29,-119.11
26-09-2023,18727.16,18787.82,18689.23,18767.8,98.59,-40.64
25-09-2023,18646.65,18729.75,18586.36,18686.83,143.39,-40.18
22-09-2023,18688.26,18710.67,18577.19,18663.9,133.48,24.36
21-09-2023,18769.55,18800.31,18597.05,18694.01,203.26,75.54
20-09-2023,18822.8,18837.76,18758.16,18803.34,79.6,19.46
18-09-2023,18811.83,18917.25,18774.02,18881.92,143.23,-70.09
15-09-2023,18855.93,18897.67,18769.07,18797.96,128.6,57.97
14-09-2023,18926.24,18956.04,18794.72,18878.94,161.32,47.3
13-09-2023,18763.45,18917.16,18755.48,18869.24,161.68,-105.79
12-09-2023,18967.76,18984.43,18690.47,18798.82,293.96,168.94
11-09-2023,18795.63,18932.54,18771.22,18906.48,161.32,-110.85
08-09-2023,18807.86,18814.08,18716.64,18742.62,97.44,65.24
07-09-2023,18825.17,18842.37,18751.32,18765.73,91.05,59.44
06-09-2023,18641.77,18856.04,18639.76,18834.67,216.28,-192.9
05-09-2023,18533.27,18664.69,18532.98,18639.0,131.71,-105.73
04-09-2023,18515.07,18573.3,18426.26,18505.97,147.04,9.1
01-09-2023,18503.72,18547.11,18453.4,18515.25,93.71,-11.53
31-08-2023,18621.33,18650.57,18401.8,18464.75,248.77,156.58
30-08-2023,18507.37,18620.61,18507.37,18597.52,113.24,-90.15
29-08-2023,18566.81,18600.48,18485.35,18500.01,115.13,66.8
28-08-2023,18610.82,18644.36,18537.13,18558.43,107.23,52.39
25-08-2023,18757.3,18757.3,18560.43,18609.46,196.87,147.84
24-08-2023,18793.02,18829.98,18757.22,18780.65,72.76,12.37
23-08-2023,18867.32,18874.29,18710.82,18727.91,163.47,139.41
22-08-2023,18693.57,18836.44,18655.02,18809.28,181.42,-115.71
21-08-2023,18525.33,18698.39,18525.33,18678.93,173.06,-153.6
18-08-2023,18509.79,18604.91,18465.33,18566.32,139.58,-56.53
17-08-2023,18680.69,18698.94,18493.13,18518.93,205.81,161.76
16-08-2023,18604.32,18718.43,18574.92,18691.99,143.51,-87.67
14-08-2023,18506.14,18651.36,18394.46,18611.79,256.9,-105.65
11-08-2023,18689.71,18705.99,18514.31,18539.62,191.68,150.09
10-08-2023,18831.86,18852.68,18632.94,18674.82,219.74,157.04
09-08-2023,18704.86,18860.1,18628.95,18841.04,231.15,-136.18
08-08-2023,18785.76,18844.71,18671.22,18726.49,173.49,59.27
07-08-2023,18743.82,18807.72,18698.67,18781.33,109.05,-37.51
