Video ID,Title,PublishDay,PublishDate,PublishTime,Duration(seconds),Likes,ChannelName,SubscriberCount
uK3oRp3vxek,RIDDLES WITH FORFEITS FT CHUNKZ & HARRY PINERO,Sunday,11/22/2020,19:00:42,1004,164475,Darkest Man,620000
1QdEYlNOtlY,"MEAN COMMENTS ARE BACK WITH CHUNKZ, YUNG FILLY & HARRY PINERO",Sunday,11/22/2020,19:00:01,796,118342,Pro:Direct Soccer,818000
_6UqOVKFv3M,ASSUMPTIONS WITH CHUNKZ & DARKEST MAN,Tuesday,11/24/2020,19:00:18,649,90348,Harry Pinero,645000
B_D8WEnDePM,"CHUNKZ, DARKEST AND NELLA ROSE EAT HARRYS GIANT SNAIL!! | Chefasylum S5 Ep1",Sunday,12/6/2020,19:00:01,1281,154324,Footasylum,2710000
SukYEdbWYh8,"CHUNKZ, DARKEST MAN AND NELLA ROSE BEEF!! | Chefasylum S5 Ep 2",Sunday,12/13/2020,19:00:10,1277,89148,Footasylum,2710000
KiWr80N86PY,HESITATIONS WITH CHUNKZ & AJ SHABEEL,Saturday,12/19/2020,19:00:17,682,79979,Harry Pinero,645000
uB9R9D2LwNM,"NELLA COOKS FOR CHUNKZ, DARKEST MAN AND HARRY PINERO!!! | Chefasylum S5 | Ep 3",Sunday,12/20/2020,19:00:26,1302,146861,Footasylum,2710000
RgigIeocM0Y,GENERAL KNOWLEDGE WITH CHUNKZ & DARKEST MAN,Saturday,12/26/2020,20:30:07,796,132450,Harry Pinero,645000
FrKiKey-e6c,SONG ASSOCIATION WITH FORFEITS FT CHUNKZ & HARRY PINERO,Tuesday,12/29/2020,20:01:36,1058,142018,Darkest Man,620000
65f93CsFPYA,MEAN COMMENTS FT DARKEST & HARRY PINERO,Friday,1/22/2021,18:30:21,929,201217,Chunkz,3270000
wZgEklkibN8,"DARKEST MAN, HARRY PINERO and MIKES COMEDY are back! | You Think You Know Music | Episode 1",Sunday,1/31/2021,19:00:23,1235,33446,Footasylum,2710000
KF8I09WBtEI,SIDEMEN TINDER IN REAL LIFE 3,Sunday,2/7/2021,18:02:47,3427,2042284,Sidemen,20700000
3cRx36rPXGo,KNOW YOUR CLUB | FOOTBALL CHALLENGE #2 FT HARRY PINERO,Monday,2/8/2021,17:34:11,775,20114,SDS,254000
3cRx36rPXGo,KNOW YOUR CLUB | FOOTBALL CHALLENGE #2 FT HARRY PINERO,Monday,2/8/2021,17:34:11,775,20114,SDS,254000
Q1rHhhS-FCw,Sidemen Tinder in Real Life 3 but its only HARRY PINERO - Compilation-,Tuesday,2/9/2021,13:33:47,497,Null,Best Of Sidemen And More,17600
Ln45VAQxJhM,"""Mum You?€?re Getting Bottled"" ft Harry Pinero | The Mo Gilligan Podcast",Friday,2/12/2021,13:00:14,5281,5911,Mo Gilligan,162000
nmQCWZqRuAw,DARKEST MAN and HARRY PINERO Road Man Nursery Rhymes! | You Think You Know Music | Episode 3,Sunday,2/14/2021,19:00:20,1051,19655,Footasylum,2710000
EXEc0Q45SMo,EPIC 1V1 RAP BATTLE!! - DARKEST MAN V HARRY PINERO,Friday,2/19/2021,18:00:02,755,276720,Chunkz,3270000
HI-AJA1flWk,GUESS THE LYRIC WITH CHUNKZ & DARKEST MAN,Saturday,2/20/2021,19:10:14,568,88498,Harry Pinero,645000
_RSova6MSmI,"DARKEST MAN, HARRY PINERO AND MIKES COMEDY GUESS THE CELEBRITY!!!",Sunday,2/21/2021,19:00:07,601,25883,Footasylum,2710000
eKAdY_Bufs0,WHATS THAT SONG? WITH FORFEITS FT CHUNKZ AND HARRY PINERO!,Tuesday,2/23/2021,20:29:57,613,125357,Darkest Man,620000
pvczGO_Ln-E,EPIC 1V1 RAP BATTLE!! - DARKEST MAN V HARRY PINERO - REACTION,Tuesday,2/23/2021,22:20:35,1071,1582,Bandwagon BAM,70300
psufA2BobCs,?€?He can?€?t handle an intelligent lady?€?. *Harry Pinero* (Sidemen Sunday Tinder In Real Life 3),Saturday,2/27/2021,10:49:44,28,4978,Dimitris Epeslis,721
HgwLVnwCvBY,GUESS THE ARTIST WITH CHUNKZ & DARKEST MAN,Sunday,3/14/2021,19:00:10,690,66837,Harry Pinero,645000
HOF1RXfOAP8,HARRY HOWLS FOR HELP | CHUNKZ FILLY HARRY PINERO AJ PLAY FLIGHT OR FRIGHT | EP 1,Sunday,3/14/2021,19:00:03,1033,38659,Pro:Direct Soccer,818000
FhIIxuYuX8E,STINGING FORFEITS FOR FILLY | CHUNKZ YUNG FILLY HARRY PINERO AJ PLAY FLIGHT OR FRIGHT | EP 2,Sunday,3/21/2021,19:00:02,827,23326,Pro:Direct Soccer,818000
FhIIxuYuX8E,STINGING FORFEITS FOR FILLY | CHUNKZ YUNG FILLY HARRY PINERO AJ PLAY FLIGHT OR FRIGHT | EP 2,Sunday,3/21/2021,19:00:02,827,23326,Pro:Direct Soccer,818000
LztezNYwRs4,HESITATION WITH FORFEITS FT HARRY PINERO & AJ SHABEEL,Tuesday,3/23/2021,20:36:56,741,62856,Darkest Man,620000
dFbGZcRrB3A,Harry Pinero & Jordy | No Behaviour Podcast EP. 062 | Margs & Loons Ft Harry Pinero & Jordy,Tuesday,3/23/2021,7:52:42,3735,1091,No Behaviour Podcast,37300
4-Ajb3f4VXc,FORFEIT FRENZY FOR AJ I CHUNKZ YUNG FILLY HARRY PINERO AJ PLAY FLIGHT OR FRIGHT | EP 3,Sunday,4/4/2021,18:00:01,1030,16511,Pro:Direct Soccer,818000
4-Ajb3f4VXc,FORFEIT FRENZY FOR AJ I CHUNKZ YUNG FILLY HARRY PINERO AJ PLAY FLIGHT OR FRIGHT | EP 3,Sunday,4/4/2021,18:00:01,1030,16511,Pro:Direct Soccer,818000
