Date,AMZN,MSFT,AAPL,NFLX,GOOG,JNJ,AZN,PFE
4/26/2012,195.9900055,32.11000061,21.70357132,12.15285683,306.5858459,64.75,21.68000031,21.87855721
4/27/2012,226.8500061,31.97999954,21.5357132,11.96285725,306.3417664,64.83999634,21.77499962,21.89753342
4/30/2012,231.8999939,32.02000046,20.85642815,11.44857121,301.2956848,65.09999847,21.95000076,21.72675514
5/1/2012,230.0399933,32.00999832,20.79035759,11.62285709,301.0864563,65.22000122,22.14500046,21.61290359
5/2/2012,230.25,31.79999924,20.92785645,11.74714279,302.4961548,65.33000183,22.04500008,21.49905014
5/3/2012,229.4499969,31.76000023,20.77928543,10.85285664,304.3691406,65.33999634,22.20000076,21.44212532
5/4/2012,223.9900055,30.97999954,20.1875,10.44857121,297.3703918,64.73999786,21.95000076,21.23339653
5/7/2012,225.1600037,30.64999962,20.33857155,10.49285698,302.640625,64.80000305,21.97999954,21.29981041
5/8/2012,223.8999939,30.5,20.29214287,10.39857101,305.2508545,64.98000336,21.99500084,21.27134705
5/9/2012,222.9799957,30.76000023,20.32785606,10.62142944,303.4376526,64.27999878,21.71999931,21.29981041
5/10/2012,226.6900024,30.73999977,20.37571335,10.34571362,305.6842346,64.56999969,21.67000008,21.66034126
5/11/2012,227.6799927,31.15999985,20.2396431,11.054286,301.4849548,64.33999634,21.72500038,21.4895649
5/14/2012,222.9299927,30.68000031,19.93642807,10.99428558,300.8722534,63.93000031,21.43000031,21.43263817
5/15/2012,224.3899994,30.20999908,19.75607109,11.06857109,304.4139709,63.61000061,21.19499969,21.1574955
5/16/2012,224.0599976,29.89999962,19.50285721,10.60000038,313.2907104,63.70999908,21.125,21.48007584
5/17/2012,218.3600006,29.71999931,18.93285751,10.28142929,310.3616943,63.54999924,20.82500076,21.4041748
5/18/2012,213.8500061,29.27000046,18.94214249,9.994285583,299.0789795,63.34999847,20.72999954,21.41366196
5/21/2012,218.1100006,29.75,20.04571342,10.2485714,305.9083862,63.47000122,21.10499954,21.38519859
5/22/2012,215.3300018,29.76000023,19.89178658,9.672857285,299.2782288,63.52000046,20.80999947,21.22390938
5/23/2012,217.2799988,29.11000061,20.37714386,10.27285671,303.5920715,63.27000046,20.53000069,20.95825386
5/24/2012,215.2400055,29.06999969,20.19000053,10.03857136,300.7028809,63.09999847,20.59000015,21.00569344
