Index,Date,Open,High,Low,Close,Adj Close,Volume
NYA,3/1/1966,517.900024,517.900024,517.900024,517.900024,517.900024,0.0
NYA,3/2/1966,512.830017,512.830017,512.830017,512.830017,512.830017,0.0
NYA,3/3/1966,514.940002,514.940002,514.940002,514.940002,514.940002,0.0
NYA,3/4/1966,513.349976,513.349976,513.349976,513.349976,513.349976,0.0
NYA,3/7/1966,506.380005,506.380005,506.380005,506.380005,506.380005,0.0
NYA,3/8/1966,506.899994,506.899994,506.899994,506.899994,506.899994,0.0
NYA,3/9/1966,511.130005,511.130005,511.130005,511.130005,511.130005,0.0
NYA,3/10/1966,511.23999,511.23999,511.23999,511.23999,511.23999,0.0
NYA,3/11/1966,510.820007,510.820007,510.820007,510.820007,510.820007,0.0
NYA,3/14/1966,504.899994,504.899994,504.899994,504.899994,504.899994,0.0
NYA,3/15/1966,501.51001,501.51001,501.51001,501.51001,501.51001,0.0
NYA,3/16/1966,504.26001,504.26001,504.26001,504.26001,504.26001,0.0
NYA,3/17/1966,505.850006,505.850006,505.850006,505.850006,505.850006,0.0
NYA,3/18/1966,508.279999,508.279999,508.279999,508.279999,508.279999,0.0
NYA,3/21/1966,512.190002,512.190002,512.190002,512.190002,512.190002,0.0
NYA,3/22/1966,513.669983,513.669983,513.669983,513.669983,513.669983,0.0
NYA,3/23/1966,511.980011,511.980011,511.980011,511.980011,511.980011,0.0
NYA,3/24/1966,512.719971,512.719971,512.719971,512.719971,512.719971,0.0
NYA,3/25/1966,513.98999,513.98999,513.98999,513.98999,513.98999,0.0
NYA,3/28/1966,514.940002,514.940002,514.940002,514.940002,514.940002,0.0
NYA,3/29/1966,512.830017,512.830017,512.830017,512.830017,512.830017,0.0
NYA,3/30/1966,508.600006,508.600006,508.600006,508.600006,508.600006,0.0
NYA,3/31/1966,511.450012,511.450012,511.450012,511.450012,511.450012,0.0
NYA,4/1/1966,515.580017,515.580017,515.580017,515.580017,515.580017,0.0
NYA,4/4/1966,520.22998,520.22998,520.22998,520.22998,520.22998,0.0
NYA,4/5/1966,523.51001,523.51001,523.51001,523.51001,523.51001,0.0
NYA,4/6/1966,524.880005,524.880005,524.880005,524.880005,524.880005,0.0
NYA,4/7/1966,525.940002,525.940002,525.940002,525.940002,525.940002,0.0
NYA,4/11/1966,525.72998,525.72998,525.72998,525.72998,525.72998,0.0
NYA,4/12/1966,524.140015,524.140015,524.140015,524.140015,524.140015,0.0
NYA,4/13/1966,524.349976,524.349976,524.349976,524.349976,524.349976,0.0
NYA,4/14/1966,525.409973,525.409973,525.409973,525.409973,525.409973,0.0
NYA,4/15/1966,526.359985,526.359985,526.359985,526.359985,526.359985,0.0
NYA,4/18/1966,524.25,524.25,524.25,524.25,524.25,0.0
NYA,4/19/1966,524.559998,524.559998,524.559998,524.559998,524.559998,0.0
NYA,4/20/1966,527.419983,527.419983,527.419983,527.419983,527.419983,0.0
NYA,4/21/1966,529.109985,529.109985,529.109985,529.109985,529.109985,0.0
NYA,4/22/1966,528.049988,528.049988,528.049988,528.049988,528.049988,0.0
NYA,4/25/1966,527.52002,527.52002,527.52002,527.52002,527.52002,0.0
NYA,4/26/1966,526.150024,526.150024,526.150024,526.150024,526.150024,0.0
NYA,4/27/1966,524.349976,524.349976,524.349976,524.349976,524.349976,0.0
NYA,4/28/1966,521.179993,521.179993,521.179993,521.179993,521.179993,0.0
NYA,4/29/1966,521.179993,521.179993,521.179993,521.179993,521.179993,0.0
NYA,5/2/1966,520.539978,520.539978,520.539978,520.539978,520.539978,0.0
NYA,5/3/1966,514.72998,514.72998,514.72998,514.72998,514.72998,0.0
NYA,5/4/1966,511.980011,511.980011,511.980011,511.980011,511.980011,0.0
NYA,5/5/1966,503.100006,503.100006,503.100006,503.100006,503.100006,0.0
NYA,5/6/1966,502.149994,502.149994,502.149994,502.149994,502.149994,0.0
NYA,5/9/1966,493.480011,493.480011,493.480011,493.480011,493.480011,0.0
NYA,5/10/1966,497.709991,497.709991,497.709991,497.709991,497.709991,0.0
NYA,5/11/1966,498.549988,498.549988,498.549988,498.549988,498.549988,0.0
NYA,5/12/1966,492.420013,492.420013,492.420013,492.420013,492.420013,0.0
NYA,5/13/1966,487.339996,487.339996,487.339996,487.339996,487.339996,0.0
NYA,5/16/1966,480.890015,480.890015,480.890015,480.890015,480.890015,0.0
NYA,5/17/1966,476.450012,476.450012,476.450012,476.450012,476.450012,0.0
NYA,5/18/1966,485.549988,485.549988,485.549988,485.549988,485.549988,0.0
NYA,5/19/1966,484.809998,484.809998,484.809998,484.809998,484.809998,0.0
NYA,5/20/1966,487.130005,487.130005,487.130005,487.130005,487.130005,0.0
NYA,5/23/1966,491.470001,491.470001,491.470001,491.470001,491.470001,0.0
