VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1FADP5CU2D,Spokane,Spokane,WA,99223.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,6.0,262502586,POINT (-117.369705 47.62637),MODERN ELECTRIC WATER COMPANY,53063004800.0
5UXKT0C53J,Island,Oak Harbor,WA,98277.0,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,10.0,267649546,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029970100.0
WA1F2AFY0M,Kitsap,Poulsbo,WA,98370.0,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23.0,220326459,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090502.0
1C4JJXR60P,Thurston,Olympia,WA,98501.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22.0,251533761,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010100.0
WBY8P6C51K,Stevens,Loon Lake,WA,99148.0,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,7.0,478044206,POINT (-117.63454 48.05954),NO KNOWN ELECTRIC UTILITY SERVICE,53065951301.0
1N4BZ0CP2H,Spokane,Spokane,WA,99203.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,6.0,189245045,POINT (-117.425265 47.635365),MODERN ELECTRIC WATER COMPANY,53063004200.0
JHMZC5F31J,Whitman,Pullman,WA,99163.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,9.0,229458680,POINT (-117.17912 46.730885),AVISTA CORP,53075000100.0
KNDJP3AE9G,Walla Walla,Waitsburg,WA,99361.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,16.0,132370066,POINT (-118.15324 46.267955),PACIFICORP,53071920100.0
1N4BZ0CPXG,Kitsap,Silverdale,WA,98383.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23.0,7923464,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091201.0
1G1FZ6S08K,Snohomish,Snohomish,WA,98296.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44.0,244161970,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052122.0
5UXTA6C04N,Snohomish,Mukilteo,WA,98275.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,21.0,186128057,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061042005.0
WVWKR7AU7H,King,Seattle,WA,98177.0,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,36.0,244432926,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600.0
