Number,num,Title,smiles,ho,lu,fermi,gap,molecular_weight,nonh_atoms,logp,saturation,aromatic,double_or_triple_bond,small_rings,only_CH,heteroatoms,has_O,O_single,O_single_aromatic_carbon,O_double,carbonyl,acrolein,has_N,amine,N_single_aromatic_carbon,aromatic_n,cyano,nitro,nitroso,has_N=O,acrylonitrile
174-25,29,PhC2H32_T,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.663,-2.012,-3.8375,3.651,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-26,30,PhC2H34_T,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.273,-2.409,-3.841,2.864,410.2,32,8.84,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-27,31,PhC2H38_T,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.101,-2.59,-3.8455,2.511,818.39,64,17.52,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-28,32,PhC2H316_T,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.042,-2.655,-3.8485,2.387,1634.77,128,34.89,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-29,33,PhC2H32_C,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.665,-1.989,-3.827,3.676,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-30,34,PhC2H34_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.277,-2.383,-3.83,2.894,410.2,32,8.84,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-31,35,PhC2H38_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.106,-2.564,-3.835,2.542,818.39,64,17.52,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-32,36,PhC2H316_C,C=CC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(/C=C/C4=CC=C(/C=C/C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(/C=C/C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(/C=C/C%13=CC=C(/C=C/C%14=CC=C(/C=C/C%15=CC=C(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.046,-2.63,-3.838,2.4160000000000004,1634.77,128,34.89,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-15,37,PhC2H,C#CC1=CC=CC=C1,-6.649,-1.25,-3.9495,5.399,102.05,8,1.67,False,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-16,38,PhC2H2_T,C#CC1=CC=C(C#CC2=CC=CC=C2)C=C1,-6.35,-1.706,-4.028,4.644,202.08,16,3.07,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-17,39,PhC2H4_T,C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=CC=C4)C=C3)C=C2)C=C1,-6.289,-1.762,-4.0255,4.526999999999999,402.14,32,5.87,False,True,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-18,40,PhC2H8_T,C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=C(C#CC5=CC=C(C#CC6=CC=C(C#CC7=CC=C(C#CC8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-6.283,-1.78,-4.0315,4.503,802.27,64,11.47,False,True,32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-19,41,PhC2H16_T,C#CC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C#CC4=CC=C(C#CC5=CC=C(C#CC6=CC=C(C#CC7=CC=C(C#CC8=CC=C(C#CC9=CC=C(C#CC%10=CC=C(C#CC%11=CC=C(C#CC%12=CC=C(C#CC%13=CC=C(C#CC%14=CC=C(C#CC%15=CC=C(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-6.283,-1.783,-4.033,4.5,1602.52,128,22.66,False,True,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-20,42,PhC2H2_C,C#CC1=CC=C(C#CC2=CC=CC=C2)C=C1,-6.012,-2.008,-4.01,4.004,202.08,16,3.07,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-21,43,PhC2H4_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4=CC=CC=C4)C=C3)C=C2)C=C1,-5.668,-2.449,-4.0585,3.2190000000000003,406.17,32,5.79,False,True,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-22,44,PhC2H8_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.527,-2.648,-4.0875,2.879,814.36,64,11.24,False,True,26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-23,45,PhC2H16_C,C#CC1=CC=C(C#CC2C=CC(C#CC3C=CC(C#CC4C=CC(C#CC5C=CC(C#CC6C=CC(C#CC7C=CC(C#CC8C=CC(C#CC9C=CC(C#CC%10C=CC(C#CC%11C=CC(C#CC%12C=CC(C#CC%13C=CC(C#CC%14C=CC(C#CC%15C=CC(C#CC%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.481,-2.721,-4.101,2.76,1630.74,128,22.13,False,True,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-25,46,PhC2H32_T,C=CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,-5.663,-2.012,-3.8375,3.651,206.11,16,4.5,False,True,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-26,47,PhC2H34_T,C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.273,-2.409,-3.841,2.864,414.23,32,8.33,False,True,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-27,48,PhC2H38_T,C=CC1=CC=C(/C=C/[C@H]2C=C[C@H](/C=C/[C@H]3C=C[C@H](/C=C/[C@H]4C=C[C@H](/C=C/[C@H]5C=C[C@H](/C=C/[C@H]6C=C[C@H](/C=C/[C@H]7C=C[C@@H](/C=C/C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.101,-2.59,-3.8455,2.511,830.49,64,15.99,False,True,26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-28,49,PhC2H316_T,C=CC1=CC=C(/C=C/C2C=CC(/C=C/C3C=CC(/C=C/C4C=CC(/C=C/C5C=CC(/C=C/C6C=CC(/C=C/C7C=CC(/C=C/C8C=CC(/C=C/C9C=CC(/C=C/C%10C=CC(/C=C/C%11C=CC(/C=C/C%12C=CC(/C=C/C%13C=CC(/C=C/C%14C=CC(/C=C/C%15C=CC(/C=C/C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.042,-2.655,-3.8485,2.387,1662.99,128,31.3,False,True,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
